time,open,high,low,close,tick_volume,spread,real_volume
2025-11-17 01:00:00,4083.58,4084.2,4077.14,4083.6,398,3,0
2025-11-17 01:01:00,4083.25,4084.7,4082.37,4082.9,270,3,0
2025-11-17 01:02:00,4082.95,4084.4,4072.12,4079.75,525,0,0
2025-11-17 01:03:00,4079.75,4088.6,4064.1,4072.71,622,0,0
2025-11-17 01:04:00,4073.7,4082.85,4068.85,4077.95,330,3,0
2025-11-17 01:05:00,4077.88,4079.75,4077.48,4079.47,310,3,0
2025-11-17 01:06:00,4079.38,4098.94,4074.03,4090.86,478,3,0
2025-11-17 01:07:00,4092.61,4104.54,4088.98,4094.24,733,6,0
2025-11-17 01:08:00,4094.24,4101.99,4093.65,4100.52,712,0,0
2025-11-17 01:09:00,4100.5,4104.82,4098.23,4098.98,717,0,0
2025-11-17 01:10:00,4099.16,4099.25,4094.98,4096.06,643,3,0
2025-11-17 01:11:00,4096.03,4101.39,4094.82,4100.93,502,3,0
2025-11-17 01:12:00,4100.96,4101.86,4096.58,4097.96,496,3,0
2025-11-17 01:13:00,4097.97,4100.39,4097.7,4099.3,446,3,0
2025-11-17 01:14:00,4099.28,4101.5,4097.65,4098.53,612,0,0
2025-11-17 01:15:00,4098.52,4102.7,4098.36,4101.68,480,3,0
2025-11-17 01:16:00,4101.69,4101.69,4098.35,4099.12,463,1,0
2025-11-17 01:17:00,4099.02,4099.78,4097.55,4097.84,402,3,0
2025-11-17 01:18:00,4097.83,4099.82,4096.05,4096.05,456,3,0
2025-11-17 01:19:00,4096.05,4098.01,4095.38,4097.29,443,3,0
2025-11-17 01:20:00,4097.29,4101.31,4096.51,4100.76,391,3,0
2025-11-17 01:21:00,4100.77,4100.79,4099.05,4100.34,324,3,0
2025-11-17 01:22:00,4100.33,4103.99,4100.05,4103.99,358,0,0
2025-11-17 01:23:00,4104.0,4106.53,4103.17,4105.89,586,0,0
2025-11-17 01:24:00,4105.91,4106.19,4102.62,4104.13,444,3,0
2025-11-17 01:25:00,4104.15,4106.45,4103.63,4105.91,374,3,0
2025-11-17 01:26:00,4105.9,4106.53,4105.15,4105.46,387,3,0
2025-11-17 01:27:00,4105.44,4105.77,4103.18,4103.59,433,0,0
2025-11-17 01:28:00,4103.58,4104.25,4102.26,4103.48,337,3,0
2025-11-17 01:29:00,4103.57,4105.58,4103.49,4103.51,375,0,0
2025-11-17 01:30:00,4103.56,4104.21,4101.56,4103.14,324,0,0
2025-11-17 01:31:00,4103.15,4103.51,4098.9,4099.5,541,3,0
2025-11-17 01:32:00,4099.48,4101.97,4098.92,4100.18,383,3,0
2025-11-17 01:33:00,4100.18,4102.48,4099.68,4100.51,324,3,0
2025-11-17 01:34:00,4100.49,4102.42,4099.75,4102.16,383,3,0
2025-11-17 01:35:00,4102.18,4102.93,4100.98,4102.93,367,0,0
2025-11-17 01:36:00,4102.92,4103.6,4101.97,4103.6,397,1,0
2025-11-17 01:37:00,4103.66,4103.88,4101.48,4102.91,393,3,0
2025-11-17 01:38:00,4102.92,4104.54,4101.91,4103.75,417,3,0
2025-11-17 01:39:00,4103.77,4104.89,4102.85,4103.6,324,3,0
2025-11-17 01:40:00,4103.61,4104.87,4102.83,4104.69,324,3,0
2025-11-17 01:41:00,4104.71,4106.06,4104.0,4104.98,389,3,0
2025-11-17 01:42:00,4104.96,4105.0,4101.42,4101.61,404,3,0
2025-11-17 01:43:00,4101.59,4102.47,4101.37,4102.25,245,3,0
2025-11-17 01:44:00,4102.27,4103.59,4102.0,4102.34,232,3,0
