time,open,high,low,close,tick_volume,spread,real_volume
2025-11-12 08:25:00,4112.47,4114.88,4112.47,4114.05,562,18,0
2025-11-12 08:26:00,4114.05,4114.64,4112.87,4113.32,528,18,0
2025-11-12 08:27:00,4113.33,4115.73,4113.3,4115.19,560,18,0
2025-11-12 08:28:00,4115.22,4115.96,4114.66,4115.45,517,18,0
2025-11-12 08:29:00,4115.45,4115.93,4114.64,4114.88,484,18,0
2025-11-12 08:30:00,4114.88,4115.6,4114.6,4115.56,561,18,0
2025-11-12 08:31:00,4115.55,4116.52,4114.66,4114.78,582,18,0
2025-11-12 08:32:00,4114.8,4116.03,4114.56,4114.68,464,18,0
2025-11-12 08:33:00,4114.71,4114.79,4112.04,4112.4,546,18,0
2025-11-12 08:34:00,4112.44,4116.37,4112.26,4116.35,561,18,0
2025-11-12 08:35:00,4116.35,4116.73,4115.54,4116.04,516,18,0
2025-11-12 08:36:00,4116.05,4117.4,4114.81,4117.27,581,18,0
2025-11-12 08:37:00,4117.24,4117.24,4116.49,4116.71,379,18,0
2025-11-12 08:38:00,4116.78,4118.19,4115.97,4118.12,500,18,0
2025-11-12 08:39:00,4118.13,4119.0,4117.59,4117.59,553,18,0
2025-11-12 08:40:00,4117.58,4117.71,4116.27,4116.48,464,18,0
2025-11-12 08:41:00,4116.43,4117.02,4115.49,4116.07,432,18,0
2025-11-12 08:42:00,4116.07,4117.73,4116.07,4117.71,354,18,0
2025-11-12 08:43:00,4117.87,4118.2,4117.45,4117.99,375,18,0
2025-11-12 08:44:00,4118.02,4118.22,4116.75,4116.88,402,18,0
2025-11-12 08:45:00,4116.87,4117.49,4116.45,4116.54,423,18,0
2025-11-12 08:46:00,4116.55,4117.11,4114.5,4114.6,379,18,0
2025-11-12 08:47:00,4114.59,4115.19,4113.81,4113.81,473,18,0
2025-11-12 08:48:00,4113.79,4115.44,4113.25,4114.91,414,18,0
2025-11-12 08:49:00,4114.96,4115.52,4114.2,4114.81,332,18,0
2025-11-12 08:50:00,4114.81,4114.83,4113.21,4113.57,457,18,0
2025-11-12 08:51:00,4113.57,4114.89,4113.34,4114.57,431,18,0
2025-11-12 08:52:00,4114.59,4115.34,4114.43,4115.12,360,18,0
2025-11-12 08:53:00,4115.12,4116.46,4115.11,4116.31,423,18,0
2025-11-12 08:54:00,4116.32,4116.91,4115.82,4115.9,417,18,0
2025-11-12 08:55:00,4115.89,4118.18,4115.88,4118.09,436,18,0
2025-11-12 08:56:00,4118.08,4118.39,4116.92,4116.98,348,18,0
2025-11-12 08:57:00,4116.98,4117.47,4116.8,4117.46,364,18,0
2025-11-12 08:58:00,4117.46,4118.69,4117.09,4118.64,267,18,0
2025-11-12 08:59:00,4118.62,4118.66,4118.04,4118.48,296,18,0
2025-11-12 09:00:00,4118.5,4118.55,4117.6,4117.85,298,18,0
2025-11-12 09:01:00,4117.84,4118.72,4116.14,4116.49,391,18,0
2025-11-12 09:02:00,4116.51,4116.97,4115.76,4116.55,407,18,0
2025-11-12 09:03:00,4116.59,4116.74,4115.48,4116.51,402,18,0
2025-11-12 09:04:00,4116.49,4117.97,4116.49,4117.94,408,18,0
2025-11-12 09:05:00,4117.94,4121.12,4117.94,4120.55,514,18,0
2025-11-12 09:06:00,4120.56,4120.95,4118.91,4120.31,518,18,0
2025-11-12 09:07:00,4120.32,4120.65,4119.94,4120.29,410,18,0
2025-11-12 09:08:00,4120.29,4121.53,4120.1,4121.35,378,18,0
2025-11-12 09:09:00,4121.35,4122.42,4121.34,4122.07,393,18,0
2025-11-12 09:10:00,4122.08,4124.22,4122.08,4123.58,469,18,0
2025-11-12 09:11:00,4123.51,4125.05,4123.4,4124.31,502,18,0
2025-11-12 09:12:00,4124.31,4124.91,4123.89,4124.88,328,18,0
2025-11-12 09:13:00,4124.88,4124.88,4123.64,4123.98,427,18,0
2025-11-12 09:14:00,4123.92,4125.14,4123.63,4124.89,382,18,0
2025-11-12 09:15:00,4124.97,4125.25,4123.77,4124.48,412,18,0
2025-11-12 09:16:00,4124.49,4124.72,4123.73,4123.96,308,18,0
2025-11-12 09:17:00,4123.97,4124.6,4123.79,4124.07,314,18,0
2025-11-12 09:18:00,4124.07,4124.46,4123.49,4123.98,315,18,0
2025-11-12 09:19:00,4123.99,4124.1,4122.97,4123.7,349,18,0
2025-11-12 09:20:00,4123.69,4123.85,4122.48,4122.82,435,18,0
2025-11-12 09:21:00,4122.89,4122.98,4121.76,4121.96,410,18,0
2025-11-12 09:22:00,4121.87,4122.48,4121.19,4122.2,474,18,0
2025-11-12 09:23:00,4122.19,4123.28,4122.13,4122.98,328,18,0
2025-11-12 09:24:00,4122.98,4123.08,4122.23,4122.27,272,18,0
2025-11-12 09:25:00,4122.26,4122.27,4121.33,4121.45,227,18,0
2025-11-12 09:26:00,4121.47,4121.72,4121.26,4121.54,315,18,0
2025-11-12 09:27:00,4121.53,4122.8,4121.46,4122.46,388,18,0
2025-11-12 09:28:00,4122.45,4123.79,4122.33,4122.97,438,18,0
2025-11-12 09:29:00,4122.97,4124.37,4122.93,4123.83,326,18,0
2025-11-12 09:30:00,4123.87,4124.06,4122.32,4122.88,306,18,0
2025-11-12 09:31:00,4122.89,4122.89,4121.44,4121.69,318,18,0
2025-11-12 09:32:00,4121.69,4121.72,4120.48,4120.74,295,18,0
2025-11-12 09:33:00,4120.75,4121.8,4120.74,4121.04,337,18,0
2025-11-12 09:34:00,4121.04,4121.54,4119.25,4119.27,246,18,0
2025-11-12 09:35:00,4119.26,4119.88,4118.09,4118.09,410,18,0
2025-11-12 09:36:00,4118.11,4119.21,4117.69,4118.0,437,18,0
2025-11-12 09:37:00,4117.97,4118.63,4116.48,4117.05,478,18,0
2025-11-12 09:38:00,4117.04,4117.69,4116.41,4117.21,397,18,0
2025-11-12 09:39:00,4117.22,4117.62,4116.07,4117.05,405,18,0
2025-11-12 09:40:00,4117.02,4117.61,4116.46,4117.61,467,18,0
2025-11-12 09:41:00,4117.64,4118.47,4116.85,4116.93,407,18,0
2025-11-12 09:42:00,4116.94,4117.14,4114.72,4115.4,436,18,0
2025-11-12 09:43:00,4115.4,4115.47,4113.74,4114.19,428,18,0
2025-11-12 09:44:00,4114.17,4114.7,4113.67,4114.34,343,18,0
2025-11-12 09:45:00,4114.34,4114.74,4113.77,4114.55,302,18,0
2025-11-12 09:46:00,4114.61,4114.65,4113.37,4114.03,316,18,0
2025-11-12 09:47:00,4114.01,4115.6,4113.84,4115.11,363,18,0
2025-11-12 09:48:00,4115.1,4117.49,4115.1,4117.49,396,18,0
2025-11-12 09:49:00,4117.48,4117.81,4117.19,4117.65,352,18,0
2025-11-12 09:50:00,4117.64,4118.49,4116.96,4117.38,406,18,0
2025-11-12 09:51:00,4117.33,4118.99,4117.2,4118.15,355,18,0
2025-11-12 09:52:00,4118.14,4119.04,4117.73,4118.53,368,18,0
2025-11-12 09:53:00,4118.51,4118.51,4116.98,4117.27,324,18,0
2025-11-12 09:54:00,4117.25,4117.75,4115.94,4116.8,366,18,0
2025-11-12 09:55:00,4116.78,4118.1,4116.26,4118.01,348,18,0
2025-11-12 09:56:00,4118.02,4118.22,4117.17,4117.19,351,18,0
2025-11-12 09:57:00,4117.19,4117.59,4116.61,4117.42,343,18,0
2025-11-12 09:58:00,4117.44,4117.84,4116.85,4117.34,350,18,0
2025-11-12 09:59:00,4117.34,4117.97,4116.83,4117.03,394,18,0
2025-11-12 10:00:00,4117.03,4118.43,4116.66,4118.34,501,18,0
2025-11-12 10:01:00,4118.34,4119.26,4117.6,4118.27,449,18,0
2025-11-12 10:02:00,4118.09,4118.41,4116.66,4117.5,490,18,0
2025-11-12 10:03:00,4117.44,4117.6,4115.94,4117.13,436,18,0
2025-11-12 10:04:00,4117.16,4118.41,4117.14,4117.54,379,18,0
2025-11-12 10:05:00,4117.46,4117.56,4116.08,4116.32,336,18,0
