entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason
2025-11-12 09:29:00,2025-11-12 09:39:00,SHORT,103413.1,103511.67,-98.56999999999243,Stop Loss
2025-11-12 09:45:00,2025-11-12 09:56:00,SHORT,103330.08,103155.14,174.94000000000233,Take Profit
2025-11-12 11:37:00,2025-11-12 12:35:00,SHORT,104630.81,104982.4,-351.5899999999965,Stop Loss
2025-11-12 13:26:00,2025-11-12 14:10:00,SHORT,104932.74,105107.68,-174.93999999998778,Stop Loss
2025-11-12 14:30:00,2025-11-12 15:41:00,SHORT,104907.83,105127.75,-219.91999999999825,Stop Loss
2025-11-12 16:02:00,2025-11-12 16:47:00,SHORT,104822.96,104271.4,551.5600000000122,Take Profit
2025-11-12 18:35:00,2025-11-12 18:46:00,LONG,101993.21,101575.25,-417.96000000000635,Stop Loss
2025-11-12 19:10:00,2025-11-12 19:39:00,LONG,101619.38,102114.34,494.95999999999185,Take Profit
2025-11-12 19:51:00,2025-11-12 20:01:00,SHORT,101586.51,101860.61,-274.1000000000058,Stop Loss
2025-11-12 20:09:00,2025-11-12 21:07:00,SHORT,101617.05,101152.41,464.6399999999995,Take Profit
2025-11-12 21:43:00,2025-11-12 22:02:00,LONG,101525.03,101156.64,-368.3899999999994,Stop Loss
2025-11-12 22:57:00,2025-11-12 23:11:00,SHORT,101538.82,101819.58,-280.75999999999476,Stop Loss
2025-11-13 00:06:00,2025-11-13 00:14:00,SHORT,101725.21,101454.45,270.7600000000093,Take Profit
2025-11-13 00:40:00,2025-11-13 00:53:00,LONG,101764.64,101910.86,146.22000000000116,Take Profit
2025-11-13 01:06:00,2025-11-13 01:21:00,SHORT,101721.68,101906.78,-185.10000000000582,Stop Loss
2025-11-13 01:35:00,2025-11-13 02:37:00,SHORT,101724.94,101928.33,-203.38999999999942,Stop Loss
2025-11-13 03:30:00,2025-11-13 03:39:00,SHORT,102023.96,102332.42,-308.45999999999185,Stop Loss
2025-11-13 03:51:00,2025-11-13 04:16:00,SHORT,102045.16,102226.65,-181.4899999999907,Stop Loss
2025-11-13 04:26:00,2025-11-13 04:36:00,SHORT,102135.08,102294.06,-158.97999999999593,Stop Loss
2025-11-13 04:46:00,2025-11-13 05:10:00,SHORT,102015.97,101627.73,388.24000000000524,Take Profit
2025-11-13 05:27:00,2025-11-13 07:50:00,LONG,101984.0,102887.3,903.3000000000029,Take Profit
2025-11-13 09:38:00,2025-11-13 09:56:00,SHORT,103657.55,103353.29,304.2600000000093,Take Profit
2025-11-13 10:25:00,2025-11-13 11:05:00,LONG,103676.03,103509.19,-166.8399999999965,Stop Loss
2025-11-13 12:09:00,2025-11-13 12:12:00,LONG,103021.54,102827.73,-193.80999999999767,Stop Loss
2025-11-13 12:19:00,2025-11-13 12:33:00,LONG,103169.43,102967.69,-201.73999999999072,Stop Loss
2025-11-13 12:41:00,2025-11-13 13:02:00,SHORT,102929.72,103090.7,-160.97999999999593,Stop Loss
2025-11-13 13:22:00,2025-11-13 13:35:00,SHORT,102908.21,102700.36,207.85000000000582,Take Profit
2025-11-13 13:51:00,2025-11-13 13:54:00,LONG,103045.45,102904.76,-140.69000000000233,Stop Loss
2025-11-13 13:56:00,2025-11-13 14:00:00,SHORT,102864.08,102982.88,-118.80000000000291,Stop Loss
2025-11-13 14:01:00,2025-11-13 14:06:00,LONG,103013.56,102783.46,-230.09999999999127,Stop Loss
2025-11-13 14:07:00,2025-11-13 14:36:00,SHORT,102802.51,103058.85,-256.34000000001106,Stop Loss
2025-11-13 15:07:00,2025-11-13 15:26:00,SHORT,102962.95,102680.22,282.7299999999959,Take Profit
2025-11-13 16:23:00,2025-11-13 16:35:00,LONG,102415.03,102141.63,-273.3999999999942,Stop Loss
2025-11-13 16:36:00,2025-11-13 16:39:00,SHORT,101855.71,102315.91,-460.1999999999971,Stop Loss
2025-11-13 16:52:00,2025-11-13 17:04:00,LONG,103076.13,102187.93,-888.2000000000116,Stop Loss
2025-11-13 17:06:00,2025-11-13 17:46:00,SHORT,102428.61,101360.02,1068.5899999999965,Take Profit
2025-11-13 18:37:00,2025-11-13 18:55:00,LONG,101180.39,100600.89,-579.5,Stop Loss
2025-11-13 21:13:00,2025-11-13 22:04:00,LONG,98736.68,98284.79,-451.8899999999994,Stop Loss
2025-11-13 22:31:00,2025-11-14 00:12:00,LONG,98473.0,99334.28,861.279999999999,Take Profit
2025-11-14 01:51:00,2025-11-14 02:00:00,SHORT,100006.33,99517.26,489.070000000007,Take Profit
2025-11-14 02:34:00,2025-11-14 02:38:00,LONG,99680.32,99244.38,-435.9400000000023,Stop Loss
2025-11-14 02:39:00,2025-11-14 03:35:00,SHORT,99099.85,99490.32,-390.47000000000116,Stop Loss
2025-11-14 04:50:00,2025-11-14 05:15:00,SHORT,99617.48,99124.26,493.22000000000116,Take Profit
2025-11-14 07:22:00,2025-11-14 07:29:00,LONG,97675.07,97264.82,-410.25,Stop Loss
2025-11-14 07:53:00,2025-11-14 08:12:00,LONG,97432.66,97067.07,-365.5899999999965,Stop Loss
2025-11-14 08:57:00,2025-11-14 13:18:00,LONG,97191.93,96480.42,-711.5099999999948,Stop Loss
2025-11-14 15:03:00,2025-11-14 15:20:00,LONG,95420.3,94869.67,-550.6300000000047,Stop Loss
